"","lon","lat","habitat","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98"
"72062",-78.197,40.461,0.438107585997499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,15,14,21,33,18,18,11,25,21,21,20
"72063",-78.229,40.62,0.00209113089305824,NA,NA,NA,5,NA,12,1,6,NA,NA,NA,12,10,10,11,4,8,NA,NA,NA,NA,NA,21,14,26,16,35,28,32,20,17,31,NA
"72064",-78.123,40.691,-0.662218861296594,NA,NA,13,8,12,19,14,21,21,18,17,17,NA,18,13,21,16,26,13,27,27,26,32,26,25,25,23,24,25,41,28,36,34
"72066",-77.79,40.506,0.357438491621100,NA,NA,1,3,9,6,5,8,5,12,7,10,13,21,8,11,14,12,10,9,16,NA,64,22,36,44,30,44,40,35,45,33,51
"72067",-77.85,40.652,0.76723749105321,NA,NA,NA,2,16,14,4,13,14,15,14,14,22,14,20,31,22,13,20,13,17,12,12,0,14,21,13,18,4,14,18,24,NA
"72068",-77.541,40.393,0.107767644526142,0,19,13,15,17,7,4,2,NA,13,9,11,11,10,NA,NA,NA,NA,NA,NA,NA,NA,24,19,30,26,25,26,34,17,18,23,30
"72069",-77.348,40.774,1.20648070993271,NA,NA,NA,NA,6,5,NA,4,9,15,5,17,13,4,26,9,11,13,9,12,14,16,13,9,12,17,17,17,NA,6,18,14,17
"72070",-77.198,40.069,1.06490644930213,35,15,10,NA,19,18,21,37,34,61,44,38,46,31,21,51,40,48,26,31,42,35,18,24,31,25,24,29,32,25,41,27,29
"72071",-77.986,40.584,-0.407304523067171,NA,19,20,23,15,18,8,12,16,11,13,12,NA,NA,NA,NA,NA,11,18,27,19,28,22,28,22,25,27,36,37,31,22,25,36
"72072",-77.194,40.612,-0.999415675789945,20,14,15,NA,14,16,14,12,NA,NA,NA,10,13,10,35,24,23,51,49,50,63,41,29,26,36,54,38,15,40,NA,55,25,27
"72076",-76.701,40.328,-1.61895432060070,NA,NA,NA,NA,NA,NA,NA,38,37,38,45,42,47,64,165,44,64,63,54,47,NA,79,64,80,90,70,62,48,55,61,NA,54,45
"72077",-76.509,40.114,-2.05658415759267,21,NA,7,55,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,62,56,40,60,34,51,83,NA,NA
"72078",-76.276,40.323,-2.50752439515674,NA,NA,NA,38,24,32,33,60,67,63,100,39,32,41,41,71,44,68,91,54,67,114,80,85,99,NA,NA,NA,NA,NA,NA,19,36
"72079",-76.813,40.565,-2.07392801288359,11,NA,NA,NA,NA,NA,NA,21,21,27,86,28,NA,NA,NA,27,NA,21,9,30,19,13,13,11,10,23,7,7,14,5,6,25,NA
"72080",-76.347,40.45,-2.21429223709853,10,18,0,36,13,31,28,34,31,40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,28,35,41,23,25,33
"72083",-75.781,40.776,0.374782346912026,14,10,0,6,14,NA,NA,36,82,NA,78,120,45,49,106,87,70,67,43,53,70,60,38,24,38,32,39,40,25,52,37,43,40
"72084",-75.304,40.175,-1.22085233985316,NA,NA,NA,NA,NA,63,77,85,116,NA,120,135,95,66,65,90,86,112,79,105,82,101,90,55,60,58,52,83,47,75,83,61,78
"72085",-75.993,40.836,0.311860453298433,6,20,0,7,7,1,3,7,19,18,13,9,14,14,20,17,15,8,NA,12,NA,NA,15,12,65,30,11,19,16,21,2,10,15
"72086",-75.226,40.828,-0.377860303619785,NA,32,55,NA,NA,74,35,83,NA,NA,NA,NA,NA,NA,49,31,37,43,62,28,43,62,43,45,70,34,29,54,42,44,37,31,44
"72087",-75.795,40.641,-1.53868857169618,NA,32,19,26,31,17,25,20,24,25,21,26,20,15,35,27,12,40,23,25,59,40,28,28,34,32,32,27,47,61,79,68,50
"72088",-80.018,39.812,-0.223378987888979,0,3,2,2,2,3,3,7,7,7,7,11,13,16,11,10,8,10,13,17,25,18,20,25,23,21,23,15,8,10,6,8,24
"72090",-79.165,39.795,1.24399183881773,5,NA,NA,NA,NA,3,NA,6,1,8,5,3,13,11,NA,9,11,10,5,14,17,10,9,11,15,14,20,16,14,16,12,9,8
"72091",-78.836,39.821,0.768850872940739,NA,NA,NA,NA,NA,2,3,6,3,5,5,3,7,10,5,8,9,8,3,3,13,7,8,5,8,15,9,16,2,15,11,10,13
"72097",-75.628,39.89,-0.75216490152628,NA,NA,NA,50,39,36,34,33,40,37,37,38,45,33,NA,NA,NA,NA,NA,NA,NA,75,17,47,79,42,34,35,50,55,28,44,28
"72101",-80.046,41.263,-0.763861920210858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,23,23
"72107",-79.333,41.987,-0.301628009434087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9,7,24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"72126",-77.388,41.364,1.29481336827487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,6,3,12,3,6,6
"72127",-77.125,41.118,1.32748435149731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,6,6,9,6,8,8,9,NA,11
"72132",-76.835,41.528,1.13750863424089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,6,2,8,6,3,6,12,16,10,11,10,NA,NA,NA
"72145",-80.061,40.832,-0.253226552808247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,108,53,45,72,85,63,NA,NA,NA
"72151",-79.641,40.231,-0.263310189605297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,21,18,21
"72155",-79.189,40.087,0.722466143674309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,6,3,NA,NA,NA,NA,10,6,9,8,7,2,3,8,9,5,6,7
"72165",-77.535,40.223,1.36378544396669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,11,4,2,10,NA,NA,NA,NA,4,4,12,7,10,11,8,3,11,9,9
"72173",-76.878,40.611,-1.15833379171145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,21,27
"72174",-76.555,40.078,-2.05658415759267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,36,NA,NA,NA,NA,NA,NA,NA,NA,108,81,84,82,72,99,56,NA,39,65,51
"72181",-75.437,40.439,-0.603733767873704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,35,17,30,48,29,32,33,29
"72182",-75.498,40.256,-0.76426526568274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,40,61,43,41,37,36,28,84,92,62
"72189",-79.476,39.872,1.28593976789346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,1,1,NA,NA,NA,NA,4,6,4,18,4,11,6,11,7,5,4,NA
"72192",-78.287,39.77,-0.254033243752011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,49,35,67,59,47,50
"72193",-77.122,39.919,-1.7331010891433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,13,15,30,22,26,28,102,NA
"72194",-77.427,39.897,0.77530440049085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,18,8,17,4,9,9,7,22,22,10,11
"72195",-76.641,39.769,-1.62500450267893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,50,52,53,55,47,53,37
"72196",-76.747,39.901,-1.95534444415028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,93,55,42,64,NA,90,106,109,46,51,56,75
"72198",-75.887,39.939,-1.78997280067866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14
"72901",-76.278,41.666,-0.403674413820233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,18,22,29,15,27,29,15,26,17,11,23,NA
"72902",-76.312,41.051,-1.13130964509536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,25,21,23,26,13,13,30,24,19,15,14,46,37
"72903",-75.526,40.95,1.07055328590847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,14,14,15,18,NA,16,22,9,17
"72904",-77.819,40.696,0.76723749105321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,1,1,1
"72905",-78.068,40.611,-0.407304523067171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,6,4,3,11
"72906",-77.717,40.698,0.451821332041487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,2,0
